;year;CO2_emissions;Name
0;2024;3993.3585429068007;Albania
1;2025;4076.4697826026913;Albania
2;2026;4748.555345029107;Albania
3;2027;5194.963568401776;Albania
4;2028;5525.749147126828;Albania
5;2029;5697.515900030242;Albania
6;2030;5624.274997289143;Albania
7;2024;55556.90101769214;Austria
8;2025;57055.17931456941;Austria
9;2026;53682.99855437433;Austria
10;2027;56844.856748201135;Austria
11;2028;55511.69988418472;Austria
12;2029;57930.18896119438;Austria
13;2030;57051.5653631479;Austria
14;2024;81490.16350704063;Belgium
15;2025;84523.92230375092;Belgium
16;2026;75865.32184697878;Belgium
17;2027;82558.07984243489;Belgium
18;2028;79787.48582934776;Belgium
19;2029;79567.9698143571;Belgium
20;2030;77759.91202952866;Belgium
21;2024;35246.683929377854;Bulgaria
22;2025;31971.609982219397;Bulgaria
23;2026;33075.735307995434;Bulgaria
24;2027;34265.89516694426;Bulgaria
25;2028;32410.75019202462;Bulgaria
26;2029;33047.742266206464;Bulgaria
27;2030;35423.08817095273;Bulgaria
28;2024;21564.194185119246;Bosnia and Herzegovina
29;2025;21533.450359704584;Bosnia and Herzegovina
30;2026;21681.453560494665;Bosnia and Herzegovina
31;2027;21561.980066784658;Bosnia and Herzegovina
32;2028;21547.081953941444;Bosnia and Herzegovina
33;2029;21690.223540588722;Bosnia and Herzegovina
34;2030;22013.52568565149;Bosnia and Herzegovina
35;2024;34758.40521861577;Switzerland
36;2025;35835.073805320244;Switzerland
37;2026;32850.59813572143;Switzerland
38;2027;32431.1235758928;Switzerland
39;2028;32856.6313553109;Switzerland
40;2029;32027.98367370348;Switzerland
41;2030;32246.365970203926;Switzerland
42;2024;7147.294640318181;Cyprus
43;2025;6928.206297053826;Cyprus
44;2026;7177.550037998025;Cyprus
45;2027;7556.748408811801;Cyprus
46;2028;7733.7704825872825;Cyprus
47;2029;7855.372922841185;Cyprus
48;2030;7914.171419265173;Cyprus
49;2024;87103.70393932867;Czech Republic
50;2025;82840.19684067224;Czech Republic
51;2026;80159.30682262355;Czech Republic
52;2027;80353.6313519811;Czech Republic
53;2028;81026.57363678541;Czech Republic
54;2029;80767.8160392633;Czech Republic
55;2030;85336.68806265201;Czech Republic
56;2024;589221.2555096552;Germany
57;2025;598228.2939288289;Germany
58;2026;560527.2058266638;Germany
59;2027;566710.4061708245;Germany
60;2028;567263.900906191;Germany
61;2029;554767.6629375558;Germany
62;2030;553677.8045363432;Germany
63;2024;23818.73381242666;Denmark
64;2025;24483.467999246957;Denmark
65;2026;22054.14827148993;Denmark
66;2027;22937.340090692458;Denmark
67;2028;22613.01987282301;Denmark
68;2029;20503.201781627155;Denmark
69;2030;25955.6331914638;Denmark
70;2024;216402.78875733737;Spain
71;2025;199560.35808127094;Spain
72;2026;201405.7096627067;Spain
73;2027;213569.80542738442;Spain
74;2028;212542.62576700226;Spain
75;2029;223680.90122203203;Spain
76;2030;218733.50892324693;Spain
77;2024;10972.476614949845;Estonia
78;2025;11294.748359930163;Estonia
79;2026;12266.651160780551;Estonia
80;2027;11440.390939426557;Estonia
81;2028;9914.080089330302;Estonia
82;2029;9523.550953609123;Estonia
83;2030;12857.653543865208;Estonia
84;2024;29935.159964679242;Finland
85;2025;32347.209099593703;Finland
86;2026;32949.20825665498;Finland
87;2027;34025.86781522351;Finland
88;2028;33572.38890854946;Finland
89;2029;27991.484165783273;Finland
90;2030;34732.5282047236;Finland
91;2024;283880.429808655;France
92;2025;278599.2429127859;France
93;2026;250799.44299217983;France
94;2027;254698.00469688768;France
95;2028;254467.76348800486;France
96;2029;253371.9179418;France
97;2030;255682.6454305329;France
98;2024;324987.3072345225;United Kingdom
99;2025;309136.3428766076;United Kingdom
100;2026;278558.60751588125;United Kingdom
101;2027;264275.2347789145;United Kingdom
102;2028;246535.02788073555;United Kingdom
103;2029;232590.61993640888;United Kingdom
104;2030;241356.2508136045;United Kingdom
105;2024;49713.43673509388;Greece
106;2025;45110.33036486724;Greece
107;2026;42796.247799121666;Greece
108;2027;41634.24784680832;Greece
109;2028;39962.98883617027;Greece
110;2029;39287.82727150307;Greece
111;2030;40087.65565803793;Greece
112;2024;17017.70370775761;Croatia
113;2025;16772.182073234602;Croatia
114;2026;15642.75566637043;Croatia
115;2027;15330.26989645562;Croatia
116;2028;14815.477694814295;Croatia
117;2029;15261.121947889573;Croatia
118;2030;16392.696300140447;Croatia
119;2024;40307.25264812424;Hungary
120;2025;37831.816399515454;Hungary
121;2026;37300.06930946347;Hungary
122;2027;38863.788225378055;Hungary
123;2028;38542.79093763683;Hungary
124;2029;40279.74947898601;Hungary
125;2030;42143.39633934695;Hungary
126;2024;32888.69235565765;Ireland
127;2025;32779.9391110256;Ireland
128;2026;32612.720112092567;Ireland
129;2027;33803.999230970265;Ireland
130;2028;34574.47071578921;Ireland
131;2029;34140.362785792204;Ireland
132;2030;35507.037445692134;Ireland
133;2024;3145.2006739490325;Iceland
134;2025;3227.7853098860633;Iceland
135;2026;3291.3734818501707;Iceland
136;2027;3328.649495768264;Iceland
137;2028;3266.5756398779445;Iceland
138;2029;3266.1174705315284;Iceland
139;2030;3234.112387767068;Iceland
140;2024;291394.6801377373;Italy
141;2025;266394.98299631843;Italy
142;2026;250211.31059253623;Italy
143;2027;258713.64312019225;Italy
144;2028;254840.34172608104;Italy
145;2029;250052.34940489678;Italy
146;2030;256971.6353510471;Italy
147;2024;12859.1198200739;Lithuania
148;2025;12684.658750160606;Lithuania
149;2026;13003.596838129663;Lithuania
150;2027;13515.622305769117;Lithuania
151;2028;10438.788513808959;Lithuania
152;2029;9909.813244677707;Lithuania
153;2030;12663.54015653587;Lithuania
154;2024;7246.67307776729;Luxembourg
155;2025;7061.931573643172;Luxembourg
156;2026;7030.807251885713;Luxembourg
157;2027;6763.014385461496;Luxembourg
158;2028;6636.701004438376;Luxembourg
159;2029;6640.5754647129015;Luxembourg
160;2030;7578.616115225299;Luxembourg
161;2024;6247.541226433748;Latvia
162;2025;6097.984720065242;Latvia
163;2026;6157.442808900117;Latvia
164;2027;5933.788826065165;Latvia
165;2028;5264.739468115579;Latvia
166;2029;4903.017546622409;Latvia
167;2030;5616.471369262845;Latvia
168;2024;8332.7340924807;North Macedonia
169;2025;7930.396690072086;North Macedonia
170;2026;7694.031961319863;North Macedonia
171;2027;7548.312530793086;North Macedonia
172;2028;7067.514544154067;North Macedonia
173;2029;7388.812930768952;North Macedonia
174;2030;7295.194698532219;North Macedonia
175;2024;1664.7147917079074;Malta
176;2025;1875.4254766419078;Malta
177;2026;1847.9857579452214;Malta
178;2027;1918.1453383724324;Malta
179;2028;1939.1167902881825;Malta
180;2029;2210.2483895247906;Malta
181;2030;2170.497398168351;Malta
182;2024;120977.4312193322;Netherlands
183;2025;119280.14373523471;Netherlands
184;2026;113663.36284676158;Netherlands
185;2027;120233.92983194545;Netherlands
186;2028;120883.08610833442;Netherlands
187;2029;118319.35819856056;Netherlands
188;2030;118394.17917608249;Netherlands
189;2024;42907.19842049824;Norway
190;2025;43282.05629324965;Norway
191;2026;43347.54107505289;Norway
192;2027;44498.04288601716;Norway
193;2028;44414.9654085117;Norway
194;2029;44122.75921502767;Norway
195;2030;44369.06654495181;Norway
196;2024;278979.6677366432;Poland
197;2025;272154.98501122475;Poland
198;2026;256686.6030119015;Poland
199;2027;257017.38739020997;Poland
200;2028;261881.22917953736;Poland
201;2029;265674.0797070445;Poland
202;2030;280975.6809117546;Poland
203;2024;34269.09536489083;Portugal
204;2025;33304.001321426724;Portugal
205;2026;32682.9824939287;Portugal
206;2027;32619.95373293466;Portugal
207;2028;31985.99495058219;Portugal
208;2029;32725.890421796972;Portugal
209;2030;31887.935104257005;Portugal
210;2024;71226.9034790295;Romania
211;2025;67570.65402701532;Romania
212;2026;64354.888786694726;Romania
213;2027;60617.992919556295;Romania
214;2028;56287.46539409113;Romania
215;2029;55494.46150996858;Romania
216;2030;66655.44040080372;Romania
217;2024;33535.200435761115;Slovakia
218;2025;33744.69608909707;Slovakia
219;2026;32465.21352633846;Slovakia
220;2027;32285.808230973722;Slovakia
221;2028;32810.551520922876;Slovakia
222;2029;33997.527474890805;Slovakia
223;2030;35755.32583436652;Slovakia
224;2024;12719.53946913197;Slovenia
225;2025;13091.622146818412;Slovenia
226;2026;12655.165183368985;Slovenia
227;2027;12622.55882584883;Slovenia
228;2028;12799.10119298412;Slovenia
229;2029;12470.756609244329;Slovenia
230;2030;13499.942311513141;Slovenia
231;2024;32793.204882851736;Sweden
232;2025;31264.32844693004;Sweden
233;2026;30418.789398043016;Sweden
234;2027;30663.49463348011;Sweden
235;2028;30304.07315433269;Sweden
236;2029;29212.958317466033;Sweden
237;2030;27665.38404219677;Sweden
238;2024;2070512.909117857;Russia
239;2025;2016592.5672403038;Russia
240;2026;2019967.5999364266;Russia
241;2027;2019330.369690982;Russia
242;2028;1989609.3382291228;Russia
243;2029;2008042.8084165738;Russia
244;2030;2147172.886498923;Russia
245;2024;122075.21708827798;Ukraine
246;2025;107634.90384890499;Ukraine
247;2026;58672.19965575721;Ukraine
248;2027;840.7152082108969;Ukraine
249;2028;-7059.826221189638;Ukraine
250;2029;-37069.57125266953;Ukraine
251;2030;-5275.594216161771;Ukraine
252;2024;54769.40179416279;Belarus
253;2025;54108.132981248615;Belarus
254;2026;53715.41665424027;Belarus
255;2027;47813.50137480553;Belarus
256;2028;46180.89441851244;Belarus
257;2029;44812.206815555335;Belarus
258;2030;49382.21195263904;Belarus
259;2024;9885.578588842875;Moldova
260;2025;9447.023901242927;Moldova
261;2026;9887.501153716945;Moldova
262;2027;9472.208077411706;Moldova
263;2028;9079.811960496876;Moldova
264;2029;8690.596834732189;Moldova
265;2030;10006.00891923029;Moldova
266;2024;53547.44310663987;Serbia
267;2025;54747.52021643787;Serbia
268;2026;53695.068291388634;Serbia
269;2027;56066.355104838665;Serbia
270;2028;56976.51740483005;Serbia
271;2029;56020.5556258596;Serbia
272;2030;58631.67973784933;Serbia
273;2024;2294.019398983824;Montenegro
274;2025;2351.0116155202904;Montenegro
275;2026;2393.172830728613;Montenegro
276;2027;2392.7019307968776;Montenegro
277;2028;2402.2667294147072;Montenegro
278;2029;2360.690912750962;Montenegro
279;2030;2392.0615288964136;Montenegro
